s,x_0,x_1,p_0,res,arc_err,curv,tangent_cos,sigma_min,tau,bif_flag,stable
3.1252089,-0.00042434223,0.0025303196,-3.0331392,0.0028387767,0.002227983,0.026981734,0.99999994,1.0,,0,1
3.1402338,-0.00041327253,0.0025314456,-3.0474582,0.002827358,0.0021899515,0.027814556,1.0,1.0,,0,1
3.155259,-0.00040206686,0.002531306,-3.0617828,0.0028147066,0.0021510033,0.028630087,1.0,1.0,,0,1
3.1702838,-0.00039040577,0.0025304332,-3.0761137,0.0028008865,0.002111298,0.029428743,1.0,1.0,,0,1
3.185309,-0.00037831906,0.002528063,-3.0904517,0.0027852724,0.0020708665,0.030210204,1.0,1.0,,0,1
3.2003338,-0.00036599394,0.0025251145,-3.1047964,0.0027689636,0.002029752,0.030974485,1.0,1.0,,0,1
3.215359,-0.0003532106,0.0025208388,-3.1191483,0.0027510237,0.0019879967,0.03172168,1.0,1.0,,0,1
3.230384,-0.00034036674,0.0025156941,-3.1335073,0.0027323947,0.0019456501,0.032451443,1.0,1.0,,0,1
3.245409,-0.00032749772,0.002509378,-3.147873,0.00271285,0.0019028648,0.033164002,1.0,1.0,,0,1
3.2604342,-0.00031377003,0.0025021946,-3.1622472,0.0026917057,0.0018595783,0.033859555,1.0,1.0,,0,1
3.275459,-0.00030009355,0.0024938947,-3.176628,0.0026698487,0.001815921,0.034538016,1.0,1.0,,0,1
3.2904842,-0.0002861824,0.0024849614,-3.1910157,0.0026474216,0.0017718992,0.03519935,1.0,1.0,,0,1
3.3055093,-0.00027244166,0.002474716,-3.2054124,0.0026242563,0.0017275948,0.035843562,1.0,1.0,,0,1
3.3205342,-0.00025782455,0.002463594,-3.2198157,0.002599679,0.0016830493,0.036470972,1.0,1.0,,0,1
3.3355594,-0.00024340209,0.0024515595,-3.2342296,0.0025748326,0.0016383085,0.037081473,1.0,1.0,,0,1
3.3505843,-0.00022890884,0.0024384726,-3.2486506,0.002549329,0.0015934424,0.037675343,0.99999994,1.0,,0,1
3.3656094,-0.00021388754,0.0024243314,-3.2630801,0.0025227817,0.0015485142,0.03825253,0.99999994,1.0,,0,1
3.3806345,-0.00019894727,0.0024093874,-3.2775187,0.0024960507,0.0015035258,0.03881322,0.99999994,1.0,,0,1
3.3956594,-0.00018395763,0.0023934394,-3.2919645,0.0024688542,0.0014585722,0.039357435,0.99999994,1.0,,0,1
3.4106846,-0.00016862154,0.0023767548,-3.3064208,0.0024412652,0.0014136824,0.03988554,1.0,1.0,,0,1
3.4257095,-0.00015323982,0.0023591807,-3.3208857,0.0024134377,0.0013689338,0.040397555,1.0,1.0,,0,1
3.4407346,-0.00013788603,0.002340639,-3.3353586,0.002385389,0.0013242933,0.04089332,0.99999994,1.0,,0,1
3.4557598,-0.00012236554,0.0023208149,-3.3498416,0.0023567332,0.0012798767,0.041373186,0.99999994,1.0,,0,1
3.4707847,-0.00010683667,0.002300716,-3.3643336,0.0023286217,0.0012357398,0.04183749,1.0,1.0,,0,1
3.4858098,-9.0940855e-05,0.0022796867,-3.3788352,0.0023003009,0.0011918464,0.04228599,1.0,1.0,,0,1
3.5008347,-7.525645e-05,0.0022574067,-3.3933473,0.0022718047,0.0011483429,0.04271944,1.0,1.0,,0,1
3.5158598,-5.94249e-05,0.002234608,-3.4078674,0.0022437652,0.0011051962,0.04313738,1.0,1.0,,0,1
3.530885,-4.3583103e-05,0.00221078,-3.4223976,0.002215806,0.0010624599,0.043540023,1.0,1.0,,0,1
3.54591,-2.7627684e-05,0.0021862919,-3.4369378,0.0021883529,0.0010201816,0.04392786,1.0,1.0,,0,1
3.560935,-1.1753291e-05,0.0021610195,-3.4514875,0.0021614002,0.0009784186,0.044300847,1.0,1.0,,0,1
3.57596,4.0177256e-06,0.002134975,-3.4660478,0.0021350204,0.0009371488,0.044659164,1.0,1.0,,0,1
3.590985,1.9910745e-05,0.002108099,-3.4806185,0.0021092377,0.00089650054,0.045003075,1.0,1.0,,0,1
3.60601,3.586337e-05,0.002080761,-3.4951978,0.0020845332,0.00085639756,0.045332454,1.0,1.0,,0,1
3.621035,5.1914714e-05,0.0020521227,-3.5097885,0.0020601964,0.00081696006,0.045647655,1.0,1.0,,0,1
3.6360602,6.7512505e-05,0.0020231185,-3.5243893,0.0020370632,0.0007781894,0.045949172,1.0,1.0,,0,1
3.6510851,8.34316e-05,0.0019934215,-3.5390005,0.002015171,0.00074009853,0.046236627,1.0,1.0,,0,1
3.6661103,9.921286e-05,0.0019629253,-3.5536218,0.0019943381,0.0007027517,0.04651042,1.0,1.0,,0,1
3.6811352,0.00011487771,0.0019317558,-3.5682535,0.0019747708,0.0006661593,0.04677077,1.0,1.0,,0,1
3.6961603,0.00013065897,0.0019000676,-3.5828962,0.0019568917,0.0006303478,0.047017924,1.0,1.0,,0,1
3.7111855,0.00014626328,0.001867407,-3.59755,0.0019401306,0.00059535395,0.047251813,1.0,1.0,,0,1
3.7262104,0.00016161893,0.001834414,-3.6122136,0.0019250793,0.0005611815,0.04747255,1.0,1.0,,0,1
3.7412355,0.00017712452,0.0018005157,-3.6268873,0.0019116978,0.000527882,0.04768062,1.0,1.0,,0,1
3.7562604,0.00019240566,0.001766298,-3.641572,0.0019002062,0.00049543375,0.047876015,1.0,1.0,,0,1
3.7712855,0.0002076421,0.0017314851,-3.6562686,0.0018906306,0.00046392993,0.048059028,1.0,1.0,,0,1
3.7863107,0.0002229577,0.0016960604,-3.6709757,0.0018832417,0.00043334177,0.048229806,1.0,1.0,,0,1
3.8013356,0.00023801718,0.0016597863,-3.6856928,0.0018773843,0.00040367452,0.048388276,1.0,1.0,,0,1
3.8163607,0.0002530273,0.0016230196,-3.7004209,0.0018737621,0.00037498525,0.048534848,1.0,1.0,,0,1
3.8313856,0.00026762392,0.0015858868,-3.7151613,0.0018718292,0.00034726007,0.048669573,1.0,1.0,,0,1
3.8464108,0.00028227828,0.0015481673,-3.7299118,0.0018723065,0.000320527,0.048792645,1.0,1.0,,0,1
3.861436,0.00029672682,0.0015101237,-3.7446723,0.0018749164,0.00029481953,0.048904363,0.99999994,1.0,,0,1
3.8764608,0.00031120423,0.001471309,-3.7594457,0.0018798332,0.00027011993,0.04900479,1.0,1.0,,0,1
3.891486,0.000325297,0.0014322903,-3.77423,0.001886551,0.0002464614,0.049094006,1.0,1.0,,0,1
3.9065108,0.0003393963,0.0013926439,-3.7890239,0.0018956529,0.00022384414,0.049172238,1.0,1.0,,0,1
3.921536,0.00035337172,0.0013526697,-3.8038297,0.0019070482,0.00020228807,0.04923976,1.0,1.0,,0,1
3.936561,0.00036704727,0.0013122587,-3.8186474,0.0019201434,0.00018178613,0.049296513,0.9999999,1.0,,0,1
3.951586,0.0003807377,0.001271096,-3.8334742,0.0019355591,0.00016237028,0.04934283,0.99999994,1.0,,0,1
3.9666111,0.0003942866,0.0012298385,-3.8483138,0.0019532768,0.00014402633,0.049378797,1.0,1.0,,0,1
3.981636,0.00040746294,0.001188186,-3.8631635,0.0019723303,0.0001267776,0.04940475,0.99999994,1.0,,0,1
3.9966612,0.00042044744,0.0011460586,-3.878025,0.001993132,0.00011062236,0.0494205,0.99999994,1.0,,0,1
4.0116863,0.00043322984,0.0011037588,-3.8928971,0.0020157539,9.555612e-05,0.04942646,1.0,1.0,,0,1
