s,x_0,p_0,res,arc_err,curv,tangent_cos,sigma_min,tau,bif_flag
0.5208681,-0.29066515,0.37295982,0.08384922,0.0017311443,0.10254911,0.9999999,0.11950114,,0
0.5308848,-0.2964661,0.38061365,0.08678201,0.001655628,0.10013227,0.9999999,0.11693719,,0
0.54090154,-0.30227637,0.3882732,0.08974652,0.0015837117,0.0977138,0.9999999,0.11416018,,0
0.5509182,-0.30809498,0.39593711,0.09274109,0.0015152664,0.09529386,0.9999999,0.11116958,,0
0.5609349,-0.3139224,0.40360507,0.09576447,0.0014500801,0.092872895,0.9999999,0.107963234,,0
0.5709516,-0.31975794,0.41127726,0.09881547,0.0013881207,0.090451494,0.9999999,0.10454187,,0
0.58096826,-0.32560205,0.41895375,0.10189295,0.0013292434,0.08802975,0.9999999,0.10090366,,0
0.590985,-0.33145368,0.42663422,0.104995474,0.0012732706,0.085608214,0.9999999,0.097049594,,0
0.6010017,-0.33731323,0.43431702,0.10812131,0.0012201458,0.08318704,0.9999999,0.09297636,,0
0.61101836,-0.34318018,0.44200465,0.111269996,0.0011696898,0.08076685,0.9999999,0.088686734,,0
0.6210351,-0.34905493,0.4496955,0.1144398,0.0011218997,0.07834784,0.9999999,0.084177464,,0
0.6310518,-0.35493588,0.45738897,0.11762911,0.0010765999,0.07593021,0.99999994,0.07945052,,0
0.64106846,-0.36082453,0.4650875,0.12083767,0.0010336475,0.07351427,0.9999999,0.074504495,,0
0.65108514,-0.36671954,0.47278777,0.12406288,0.0009930752,0.071100466,0.9999999,0.06933811,,0
0.6611018,-0.37262136,0.48049024,0.12730369,0.00095467013,0.06868914,1.0,0.06395021,,0
0.67111856,-0.37852883,0.48819682,0.13055941,0.00091836584,0.06628032,1.0,0.058344573,,0
0.68113524,-0.38444334,0.4959055,0.1338281,0.0008841329,0.06387451,0.9999999,0.052515417,,0
0.6911519,-0.39036274,0.5036174,0.13710879,0.0008518058,0.061471794,0.99999994,0.0464682,,0
0.70116866,-0.3962885,0.51133144,0.14039981,0.00082135457,0.05907264,1.0,0.04019767,,0
0.71118534,-0.40221977,0.5190476,0.1436998,0.00079265865,0.05667724,1.0,0.033705384,,0
0.721202,-0.40815598,0.5267657,0.14700733,0.0007656897,0.054285925,1.0,0.026991785,,0
0.7312187,-0.4140973,0.53448534,0.15032095,0.0007403385,0.051898867,1.0,0.020055592,,0
0.7412354,-0.42004335,0.54220736,0.15363966,0.00071653374,0.04951639,1.0,0.012898147,,0
0.7512521,-0.4259941,0.549932,0.15696222,0.00069421995,0.047139045,1.0,0.005519092,,0
0.7612688,-0.4319492,0.55765855,0.16028704,0.00067340326,0.04476689,1.0,0.0020817518,,0
0.7712855,-0.4379083,0.56538534,0.16361204,0.00065388763,0.042400405,1.0,0.009905696,,0
0.7813022,-0.44387132,0.5731152,0.1669371,0.0006357647,0.040040117,1.0,0.017950058,,0
0.7913189,-0.44983804,0.58084655,0.17026024,0.00061883015,0.03768654,1.0,0.026216269,,0
0.8013356,-0.45580858,0.5885792,0.17357998,0.0006031455,0.035340186,0.99999994,0.03470522,,0
0.81135225,-0.46178222,0.59631383,0.17689538,0.00058862206,0.033001684,1.0,0.043414593,,0
0.82136893,-0.46775854,0.6040478,0.18020386,0.0005752015,0.03067224,1.0,0.05234635,,0
0.8313857,-0.4737385,0.6117835,0.18350512,0.0005628517,0.028352914,0.99999994,0.061500967,,0
0.84140235,-0.47972053,0.61952186,0.1867984,0.00055154826,0.026045164,1.0,0.0708735,,0
0.85141903,-0.48570484,0.62726045,0.19008118,0.00054121326,0.023751123,0.99999994,0.080467105,,0
0.8614358,-0.4916916,0.63499856,0.1933518,0.00053189666,0.021473985,1.0,0.090283334,,0
0.87145245,-0.49767983,0.6427405,0.19661103,0.000523457,0.01921769,1.0,0.10031515,,0
0.88146913,-0.5036707,0.65048206,0.19985548,0.00051588874,0.016988829,1.0,0.11057043,,0
0.8914858,-0.5096619,0.6582242,0.20308445,0.0005091822,0.014797467,0.9999999,0.12104154,,0
0.9015025,-0.51565516,0.66596615,0.20629604,0.0005033671,0.012660576,0.99999994,0.13173461,,0
0.9115192,-0.5216492,0.6737101,0.20949027,0.0004983435,0.01060761,1.0,0.14264357,,0
0.9215359,-0.52764416,0.68145466,0.21266502,0.00049411325,0.008694307,1.0,0.15377039,,0
0.9315526,-0.5336399,0.68920004,0.21581918,0.0004906665,0.0070304833,1.0,0.16511464,,0
0.9415693,-0.5396358,0.6969464,0.21895161,0.00048786093,0.0058272486,1.0,0.17667395,,0
0.951586,-0.54563135,0.70469236,0.22206037,0.00048590652,0.005395336,1.0,0.18844837,,0
0.9616027,-0.55162746,0.7124382,0.2251442,0.0004845909,0.005899664,1.0,0.20044035,,0
0.97161937,-0.5576232,0.72018504,0.2282025,0.00048400852,0.0071397726,1.0,0.21264589,,0
0.98163605,-0.56361866,0.7279339,0.23123464,0.00048409245,0.008805764,0.99999994,0.2250641,,0
0.9916528,-0.5696127,0.7356814,0.23423773,0.00048487174,0.010696851,0.9999999,0.23769438,,0
1.0016694,-0.57560617,0.74343014,0.23721172,0.00048628764,0.012709883,0.99999994,0.25053728,,0
1.0116862,-0.58159786,0.751178,0.24015452,0.00048836396,0.014792542,1.0,0.26359022,,0
1.0217029,-0.5875888,0.7589288,0.2430668,0.0004911129,0.016916767,1.0,0.27685297,,0
1.0317196,-0.5935781,0.7666782,0.2459451,0.0004944419,0.01906643,1.0,0.2903266,,0
1.0417362,-0.5995651,0.7744286,0.24878973,0.0004984393,0.021231836,1.0,0.30400634,,0
1.0517529,-0.6055504,0.7821789,0.25159866,0.00050305424,0.02340685,0.99999994,0.31789494,,0
1.0617696,-0.61153334,0.78993,0.25437152,0.00050825195,0.025587205,1.0,0.33198917,,0
1.0717863,-0.6175132,0.7976811,0.2571069,0.0005140816,0.027770268,0.99999994,0.34628654,,0
1.0818031,-0.62349105,0.8054328,0.2598036,0.00052051013,0.029953673,1.0,0.3607905,,0
1.0918198,-0.6294655,0.8131857,0.26246122,0.0005275945,0.0321362,1.0,0.37549484,,0
1.1018364,-0.63543683,0.8209388,0.26507813,0.0005352506,0.03431638,1.0,0.390401,,0
1.1118531,-0.64140487,0.82869256,0.26765338,0.0005434953,0.036493476,1.0,0.40550804,,0
1.1218698,-0.6473691,0.836445,0.27018484,0.00055237167,0.03866673,0.99999994,0.42081523,,0
1.1318865,-0.65332955,0.8441992,0.2726734,0.0005618369,0.04083549,1.0,0.43631935,,0
1.1419032,-0.659286,0.85195434,0.2751176,0.0005718528,0.042999245,1.0,0.4520198,,0
1.1519198,-0.665238,0.85970974,0.27751613,0.00058251806,0.045157585,1.0,0.46791518,,0
1.1619365,-0.6711854,0.86746454,0.27986732,0.0005937233,0.047310147,0.99999994,0.48400497,,0
1.1719533,-0.6771288,0.8752217,0.282172,0.0006055838,0.04945651,0.9999999,0.5002885,,0
1.18197,-0.68306655,0.88297963,0.28442872,0.000618006,0.051596362,0.9999999,0.5167601,,0
1.1919867,-0.6889992,0.8907356,0.28663453,0.0006310813,0.053729393,0.9999999,0.5334239,,0
1.2020034,-0.69492686,0.8984945,0.28879154,0.00064460817,0.05585541,0.99999994,0.55027556,,0
1.21202,-0.7008488,0.9062557,0.29089895,0.00065880467,0.05797404,0.9999999,0.5673115,,0
1.2220367,-0.70676523,0.91401565,0.29295316,0.0006735734,0.06008513,0.9999998,0.5845356,,0
1.2320534,-0.7126754,0.9217763,0.29495504,0.00068890007,0.0621884,0.9999999,0.6019423,,0
1.2420702,-0.71857935,0.9295372,0.29690325,0.0007048643,0.06428354,0.9999999,0.61953175,,0
1.2520869,-0.7244768,0.9373001,0.29879847,0.00072132185,0.066370346,0.9999998,0.6372999,,0
1.2621036,-0.73036844,0.9450654,0.30063963,0.00073844875,0.06844868,0.9999999,0.65524876,,0
1.2721202,-0.7362526,0.9528297,0.30242446,0.0007560912,0.07051821,0.9999999,0.67337394,,0
1.2821369,-0.74213016,0.9605962,0.3041539,0.00077427033,0.07257873,0.9999999,0.6916753,,0
1.2921536,-0.74800044,0.96836436,0.30582723,0.00079305476,0.07462993,0.9999998,0.71014965,,0
1.3021703,-0.75386304,0.9761337,0.30744362,0.0008123633,0.07667179,0.9999998,0.7287947,,0
1.312187,-0.75971824,0.98390317,0.3090012,0.0008321723,0.07870383,0.99999976,0.74761224,,0
1.3222036,-0.7655659,0.9916756,0.31050166,0.0008525749,0.08072592,0.9999997,0.76659775,,0
1.3322204,-0.7714056,0.9994489,0.31194282,0.0008735099,0.08273803,0.9999997,0.78575075,,0
1.3422371,-0.7772371,1.0072243,0.31332508,0.0008949164,0.08473958,0.99999964,0.80506825,,0
1.3522538,-0.7830603,1.015001,0.3146474,0.00091683835,0.086730614,0.99999964,0.8245492,,0
1.3622705,-0.7888748,1.0227789,0.31590918,0.000939241,0.088710755,0.9999997,0.84419143,,0
1.3722872,-0.7946808,1.0305595,0.31711102,0.0009621803,0.09067986,0.9999997,0.86399305,,0
1.3823038,-0.80047756,1.0383412,0.3182513,0.0009855087,0.09263755,0.99999964,0.8839519,,0
1.3923205,-0.80626553,1.0461264,0.31933135,0.0010093967,0.09458375,0.9999996,0.90406597,,0
1.4023373,-0.81204426,1.0539118,0.32034814,0.0010336704,0.09651825,0.9999995,0.92433584,,0
1.412354,-0.8178136,1.0617,0.32130337,0.0010583915,0.09844065,0.99999964,0.94475734,,0
1.4223707,-0.82357305,1.0694919,0.32219768,0.0010835108,0.10035081,0.9999995,0.96532583,,0
1.4323874,-0.8293232,1.0772864,0.32302922,0.0011090516,0.102248505,0.9999995,0.9860443,,0
1.442404,-0.8350636,1.0850807,0.32379556,0.0011350346,0.10413356,0.99999946,1.0069128,,0
1.4524207,-0.8407929,1.09288,0.3245018,0.0011612371,0.10600558,0.99999946,1.0279181,,0
1.4624374,-0.8465127,1.1006819,0.325144,0.0011878414,0.10786446,0.9999995,1.0490693,,0
1.4724541,-0.85222167,1.108486,0.3257228,0.0012147719,0.10970988,0.9999994,1.0703593,,0
1.4824708,-0.8579202,1.1162927,0.32623756,0.0012420504,0.11154181,0.9999994,1.0917885,,0
1.4924875,-0.86360794,1.1241035,0.32668978,0.0012695682,0.11335979,0.9999994,1.1133525,,0
1.5025042,-0.86928487,1.1319171,0.32707793,0.0012973273,0.11516377,0.99999934,1.1350514,,0
1.5125209,-0.8749505,1.1397325,0.32740128,0.0013252912,0.11695338,0.99999934,1.1568829,,0
1.5225376,-0.8806051,1.1475526,0.327662,0.0013534612,0.1187285,0.9999992,1.1788434,,0
1.5325543,-0.8862482,1.155376,0.3278588,0.0013819186,0.12048888,0.9999992,1.2009315,,0
1.542571,-0.8918798,1.1632037,0.3279925,0.001410475,0.1222343,0.9999993,1.223145,,0
1.5525876,-0.8974995,1.171034,0.32806176,0.0014391108,0.12396444,0.9999993,1.2454821,,0
1.5626044,-0.9031073,1.1788687,0.32806802,0.0014679523,0.12567928,0.9999993,1.2679397,,0
1.5726211,-0.9087039,1.1867073,0.32800978,0.0014967662,0.12737851,0.9999992,1.2905214,,0
1.5826378,-0.9142873,1.1945496,0.32788926,0.0015256647,0.1290619,0.9999992,1.3132145,,0
1.5926545,-0.91985923,1.2023957,0.3277042,0.0015546045,0.1307293,0.99999917,1.3360274,,0
1.6026711,-0.9254183,1.2102469,0.32745725,0.0015835457,0.13238046,0.9999991,1.3589503,,0
1.6126878,-0.93096495,1.2181029,0.32714778,0.0016124139,0.1340153,0.99999905,1.3819842,,0
1.6227045,-0.93649924,1.2259618,0.32677358,0.0016412097,0.13563332,0.999999,1.4051307,,0
1.6327212,-0.9420203,1.2338269,0.32633907,0.0016699339,0.13723476,0.99999905,1.4283798,,0
