s,x_0,p_0,res,sigma_min,tau,stable,bif_flag,arc_err,curv,tangent_cos
0.0,1.500549554824829,1.4991823434829712,0.0020515918731689453,1.501916766166687,1.500549554824829,1,0,0.00044666690519079566,0.09525176137685776,1.0
0.01001669466495514,1.493587613105774,1.4922720193862915,0.001965045928955078,1.4949032068252563,1.493587613105774,1,0,0.0004078672209288925,0.09272917360067368,1.0
0.02003338932991028,1.4866180419921875,1.485355257987976,0.0018773078918457031,1.487880825996399,1.4866180419921875,1,0,0.00037178568891249597,0.09022422879934311,1.0
0.030050083994865417,1.4796417951583862,1.4784327745437622,0.0017888545989990234,1.4808508157730103,1.4796417951583862,1,0,0.00033827978768385947,0.08773810416460037,1.0
0.04006677865982056,1.4726588726043701,1.4715043306350708,0.0017001628875732422,1.4738134145736694,1.4726588726043701,1,0,0.00030721607618033886,0.08527201414108276,1.0
0.050083473324775696,1.4656697511672974,1.4645706415176392,0.0016109943389892578,1.4667688608169556,1.4656697511672974,1,0,0.00027845913427881896,0.0828271359205246,1.0
0.060100167989730835,1.4586739540100098,1.4576307535171509,0.0015215873718261719,1.4597171545028687,1.4586739540100098,1,0,0.00025187880964949727,0.08040456473827362,1.0
0.07011686265468597,1.4516723155975342,1.4506858587265015,0.0014319419860839844,1.452658772468567,1.4516723155975342,1,0,0.00022734633239451796,0.07800547033548355,1.0
0.08013355731964111,1.4446648359298706,1.4437358379364014,0.0013420581817626953,1.4455938339233398,1.4446648359298706,1,0,0.00020475569181144238,0.07563094049692154,1.0
0.09015025198459625,1.4376521110534668,1.4367802143096924,0.001253366470336914,1.4385240077972412,1.4376521110534668,1,0,0.00018398022803012282,0.07328210026025772,0.9999999403953552
0.10016694664955139,1.4306336641311646,1.429819941520691,0.0011641979217529297,1.4314473867416382,1.4306336641311646,1,0,0.0001649077603360638,0.07095993310213089,0.9999998807907104
0.11018364131450653,1.4236104488372803,1.4228547811508179,0.00107574462890625,1.4243661165237427,1.4236104488372803,1,0,0.00014744125655852258,0.068665511906147,0.9999998807907104
0.12020033597946167,1.4165818691253662,1.4158848524093628,0.0009872913360595703,1.4172788858413696,1.4165818691253662,1,0,0.00013147386198397726,0.06639987975358963,0.9999999403953552
0.1302170306444168,1.4095488786697388,1.4089099168777466,0.0009007453918457031,1.410187840461731,1.4095488786697388,1,0,0.00011690030078170821,0.06416400521993637,1.0
0.14023372530937195,1.4025108814239502,1.401930809020996,0.0008134841918945312,1.4030909538269043,1.4025108814239502,1,0,0.0001036468893289566,0.061958879232406616,1.0
0.1502504199743271,1.395469069480896,1.3949471712112427,0.0007282495498657227,1.3959909677505493,1.395469069480896,1,0,9.160206536762416e-05,0.05978551134467125,1.0
0.16026711463928223,1.388422966003418,1.3879592418670654,0.0006438493728637695,1.3888866901397705,1.388422966003418,1,0,8.069564501056448e-05,0.05764484778046608,1.0
0.17028380930423737,1.3813724517822266,1.3809672594070435,0.0005598068237304688,1.3817776441574097,1.3813724517822266,1,0,7.083703530952334e-05,0.055537786334753036,1.0
0.1803005039691925,1.3743184804916382,1.3739711046218872,0.0004774332046508789,1.3746658563613892,1.3743184804916382,1,0,6.195408059284091e-05,0.05346532166004181,1.0
0.19031719863414764,1.3672608137130737,1.3669705390930176,0.00039696693420410156,1.3675510883331299,1.3672608137130737,1,0,5.397209679358639e-05,0.051428284496068954,1.0
0.20033389329910278,1.3601996898651123,1.3599666357040405,0.00031697750091552734,1.360432744026184,1.3601996898651123,1,0,4.681809150497429e-05,0.04942769557237625,1.0
0.21035058796405792,1.353135108947754,1.3529587984085083,0.00023853778839111328,1.3533114194869995,1.353135108947754,1,0,4.043209264636971e-05,0.04746439680457115,1.0
0.22036728262901306,1.3460677862167358,1.345947504043579,0.00016188621520996094,1.3461880683898926,1.3460677862167358,1,0,3.474843470030464e-05,0.04553934186697006,1.0
0.2303839772939682,1.3389972448349,1.3389323949813843,8.690357208251953e-05,1.3390620946884155,1.3389972448349,1,0,2.9707809517276473e-05,0.04365340620279312,1.0
0.24040067195892334,1.3319242000579834,1.3319143056869507,1.3232231140136719e-05,1.3319340944290161,1.3319242000579834,1,0,2.5254512365791015e-05,0.041807565838098526,1.0
0.2504173517227173,1.3248482942581177,1.3248927593231201,5.888938903808594e-05,1.3248038291931152,1.3248482942581177,1,0,2.1337935322662815e-05,0.04000277444720268,1.0
0.2604340612888336,1.317770004272461,1.3178679943084717,0.0001291036605834961,1.3176720142364502,1.317770004272461,1,0,1.79077160282759e-05,0.038239941000938416,1.0
0.27045077085494995,1.3106896877288818,1.3108400106430054,0.0001970529556274414,1.3105393648147583,1.3106896877288818,1,0,1.4917986845830455e-05,0.03652014955878258,1.0
0.2804674506187439,1.3036071062088013,1.303809404373169,0.0002636909484863281,1.3034048080444336,1.3036071062088013,1,0,1.2327202057349496e-05,0.03484437242150307,1.0
0.29048413038253784,1.2965227365493774,1.2967755794525146,0.00032770633697509766,1.2962698936462402,1.2965227365493774,1,0,1.0097035556100309e-05,0.033213865011930466,1.0
0.3005008399486542,1.2894363403320312,1.2897387742996216,0.00038993358612060547,1.289133906364441,1.2894363403320312,1,0,8.184770194930024e-06,0.03162955492734909,1.0
0.3105175495147705,1.2823482751846313,1.282699704170227,0.0004507303237915039,1.2819968461990356,1.2823482751846313,1,0,6.559804660355439e-06,0.030092878267169,1.0
0.32053422927856445,1.2752587795257568,1.2756576538085938,0.0005086660385131836,1.27485990524292,1.2752587795257568,1,0,5.190235242480412e-06,0.02860509790480137,1.0
0.3305509090423584,1.2681677341461182,1.268613338470459,0.0005650520324707031,1.2677221298217773,1.2681677341461182,1,0,4.0446047933073714e-06,0.02716759592294693,1.0
0.34056761860847473,1.2610756158828735,1.2615665197372437,0.000619053840637207,1.2605847120285034,1.2610756158828735,1,0,3.0982503176346654e-06,0.025782009586691856,1.0
0.35058432817459106,1.2539823055267334,1.2545173168182373,0.0006709098815917969,1.2534472942352295,1.2539823055267334,1,0,2.324306478840299e-06,0.024449937045574188,1.0
0.360601007938385,1.2468880414962769,1.247465968132019,0.0007206201553344727,1.2463101148605347,1.2468880414962769,1,0,1.7003399079840165e-06,0.02317330427467823,0.9999999403953552
0.37061768770217896,1.239792823791504,1.2404125928878784,0.0007684230804443359,1.2391730546951294,1.239792823791504,1,0,1.2063393342032214e-06,0.02195407636463642,0.9999999403953552
0.3806343972682953,1.2326970100402832,1.2333568334579468,0.0008133649826049805,1.2320371866226196,1.2326970100402832,1,0,8.226560339608113e-07,0.02079445868730545,1.0
0.3906511068344116,1.2256007194519043,1.2262991666793823,0.0008560419082641602,1.2249022722244263,1.2256007194519043,1,0,5.32346007275919e-07,0.019696727395057678,1.0
0.40066778659820557,1.218503475189209,1.2192397117614746,0.0008970499038696289,1.2177672386169434,1.218503475189209,1,0,3.20429933253763e-07,0.018663495779037476,1.0
