s,x_0,p_0,res,sigma_min,tau,stable,bif_flag,arc_err,curv,tangent_cos
0.0,0.015881706029176712,-1.9943398237228394,0.0319257453083992,2.0261032581329346,0.015881706029176712,1,0,0.006223165895789862,0.30393677949905396,1.0
0.013355592265725136,0.018175248056650162,-1.9822275638580322,0.0363578163087368,2.018578052520752,0.018175248056650162,1,0,0.005657176952809095,0.2785179018974304,0.9999991059303284
0.02671118453145027,0.02049325779080391,-1.9700733423233032,0.040793195366859436,2.0110597610473633,0.02049325779080391,1,0,0.005161129403859377,0.2532076835632324,0.9999993443489075
0.04006677865982056,0.022832665592432022,-1.9578787088394165,0.04522492364048958,2.0035440921783447,0.022832665592432022,1,0,0.004728729836642742,0.22807098925113678,0.999999463558197
0.05342236906290054,0.025190550833940506,-1.9456475973129272,0.04964649677276611,1.9960286617279053,0.025190550833940506,1,0,0.00435433816164732,0.20319387316703796,0.9999996423721313
0.06677795946598053,0.027563754469156265,-1.9333844184875488,0.05405109375715256,1.9885119199752808,0.027563754469156265,1,0,0.00403283117339015,0.1786983758211136,0.9999998807907104
0.08013355731964111,0.029949482530355453,-1.921091079711914,0.05843265354633331,1.9809900522232056,0.029949482530355453,1,0,0.003759434213861823,0.15476840734481812,0.9999998807907104
0.0934891477227211,0.03234430029988289,-1.9087719917297363,0.06278404593467712,1.9734605550765991,0.03234430029988289,1,0,0.003530168440192938,0.13169991970062256,0.9999999403953552
0.10684473812580109,0.0347452349960804,-1.8964298963546753,0.06709913164377213,1.965920329093933,0.0347452349960804,1,0,0.0033413218334317207,0.110003262758255,1.0
0.12020032852888107,0.0371490977704525,-1.8840686082839966,0.07137150317430496,1.9583667516708374,0.0371490977704525,1,0,0.0031897537410259247,0.09060543030500412,1.0
0.13355591893196106,0.03955269977450371,-1.8716914653778076,0.07559486478567123,1.9507968425750732,0.03955269977450371,1,0,0.003072907216846943,0.07520397007465363,0.9999999403953552
0.14691151678562164,0.04195297136902809,-1.8593010902404785,0.0797632560133934,1.943207025527954,0.04195297136902809,1,0,0.0029885065741837025,0.06648717075586319,0.9999998211860657
0.16026711463928223,0.04434669390320778,-1.8469008207321167,0.08387057483196259,1.9355942010879517,0.04434669390320778,1,0,0.0029348228126764297,0.06694420427083969,0.9999997019767761
0.17362269759178162,0.04673038795590401,-1.8344942331314087,0.08791035413742065,1.9279550313949585,0.04673038795590401,1,0,0.002910597249865532,0.07623837888240814,0.9999995827674866
0.1869782954454422,0.04910115525126457,-1.8220833539962769,0.09187732636928558,1.920285701751709,0.04910115525126457,1,0,0.002914843615144491,0.09156067669391632,0.9999993443489075
0.2003338783979416,0.051455769687891006,-1.8096719980239868,0.09576576203107834,1.912583589553833,0.051455769687891006,1,0,0.0029471900779753923,0.1102813109755516,0.9999989867210388
0.21368947625160217,0.05379045382142067,-1.79726243019104,0.09956897050142288,1.9048433303833008,0.05379045382142067,1,0,0.003007297869771719,0.1308140605688095,0.9999986886978149
0.22704507410526276,0.05610240623354912,-1.7848581075668335,0.10328231751918793,1.89706289768219,0.05610240623354912,1,0,0.0030956086702644825,0.15230165421962738,0.9999983310699463
0.24040065705776215,0.05838853493332863,-1.7724614143371582,0.1069006472826004,1.8892384767532349,0.05838853493332863,1,0,0.003212442621588707,0.17427340149879456,0.9999979734420776
0.25375625491142273,0.06064533814787865,-1.7600747346878052,0.11041818559169769,1.881365418434143,0.06064533814787865,1,0,0.003358494956046343,0.19645625352859497,0.9999975562095642
0.2671118378639221,0.06286931037902832,-1.7477011680603027,0.11382931470870972,1.8734397888183594,0.06286931037902832,1,0,0.003534880233928561,0.21868111193180084,0.9999969601631165
0.2804674506187439,0.06505759060382843,-1.735343098640442,0.11712972819805145,1.8654582500457764,0.06505759060382843,1,0,0.003742787754163146,0.24083751440048218,0.9999963045120239
0.2938230335712433,0.06720700860023499,-1.7230030298233032,0.12031465768814087,1.857417106628418,0.06720700860023499,1,0,0.003983450587838888,0.26284876465797424,0.9999957084655762
0.3071786165237427,0.06931406259536743,-1.7106835842132568,0.12337886542081833,1.8493117094039917,0.06931406259536743,1,0,0.004258431028574705,0.28465893864631653,0.9999950528144836
0.32053422927856445,0.07137554883956909,-1.698386549949646,0.12631773948669434,1.8411376476287842,0.07137554883956909,1,0,0.00456933444365859,0.3062264025211334,0.999994158744812
0.33388981223106384,0.0733887106180191,-1.6861144304275513,0.12912766635417938,1.832891821861267,0.0733887106180191,1,0,0.004917780868709087,0.3275180459022522,0.9999933838844299
0.34724539518356323,0.07534980773925781,-1.673869252204895,0.13180331885814667,1.8245688676834106,0.07534980773925781,1,0,0.005305540282279253,0.3485068082809448,0.9999924302101135
0.3606009781360626,0.07725630700588226,-1.6616533994674683,0.1343417465686798,1.8161660432815552,0.07725630700588226,1,0,0.005734269507229328,0.3691711127758026,0.9999914765357971
0.3739565908908844,0.0791047066450119,-1.6494686603546143,0.13673828542232513,1.8076781034469604,0.0791047066450119,1,0,0.006205480080097914,0.3894924819469452,0.9999904036521912
0.3873121738433838,0.08089211583137512,-1.6373176574707031,0.1389896273612976,1.7991018295288086,0.08089211583137512,1,0,0.006720992270857096,0.4094550609588623,0.9999892115592957
0.4006677567958832,0.08261533081531525,-1.625200867652893,0.14109180867671967,1.7904314994812012,0.08261533081531525,1,0,0.007282400503754616,0.42904528975486755,0.9999879598617554
0.41402336955070496,0.0842716246843338,-1.6131213903427124,0.14304205775260925,1.7816646099090576,0.0842716246843338,1,0,0.007890693843364716,0.44825172424316406,0.9999867081642151
0.42737895250320435,0.08585754036903381,-1.601080060005188,0.14483630657196045,1.7727952003479004,0.08585754036903381,1,0,0.00854738149791956,0.46706366539001465,0.9999853372573853
0.44073453545570374,0.08737054467201233,-1.5890791416168213,0.14647231996059418,1.7638201713562012,0.08737054467201233,1,0,0.00925369281321764,0.4854726791381836,0.9999838471412659
0.4540901482105255,0.08880805969238281,-1.5771204233169556,0.14794787764549255,1.7547365427017212,0.08880805969238281,1,0,0.010010330937802792,0.5034714341163635,0.9999823570251465
0.4674457311630249,0.09016667306423187,-1.5652045011520386,0.1492593139410019,1.7455378770828247,0.09016667306423187,1,0,0.010818014852702618,0.5210529565811157,0.9999806880950928
0.4808013141155243,0.09144411981105804,-1.5533334016799927,0.15040522813796997,1.7362216711044312,0.09144411981105804,1,0,0.011677594855427742,0.5382117033004761,0.9999789595603943
0.49415692687034607,0.09263713657855988,-1.5415087938308716,0.15138259530067444,1.726783037185669,0.09263713657855988,1,0,0.012588671408593655,0.554943323135376,0.9999771118164062
0.5075125098228455,0.09374363720417023,-1.5297316312789917,0.15219047665596008,1.7172188758850098,0.09374363720417023,1,0,0.013551916927099228,0.5712434649467468,0.9999752044677734
0.5208681225776672,0.09476062655448914,-1.518002986907959,0.1528264880180359,1.707524299621582,0.09476062655448914,1,0,0.01456700824201107,0.5871098041534424,0.9999733567237854
0.5342236757278442,0.09568558633327484,-1.5063250064849854,0.153289332985878,1.6976962089538574,0.09568558633327484,1,0,0.015633421018719673,0.6025394201278687,0.9999712705612183
0.547579288482666,0.09651605784893036,-1.4946986436843872,0.1535777747631073,1.6877307891845703,0.09651605784893036,1,0,0.016750333830714226,0.6175310611724854,0.9999691247940063
0.5609349012374878,0.09725019335746765,-1.483124017715454,0.15369169414043427,1.6776244640350342,0.09725019335746765,1,0,0.017917029559612274,0.6320842504501343,0.9999669194221497
0.5742904543876648,0.0978846400976181,-1.4716033935546875,0.15362876653671265,1.667372703552246,0.0978846400976181,1,0,0.019132595509290695,0.6461975574493408,0.9999645948410034
0.5876460671424866,0.09841787815093994,-1.460137963294983,0.15338976681232452,1.6569737195968628,0.09841787815093994,1,0,0.020395049825310707,0.6598721742630005,0.9999620914459229
0.6010016798973083,0.09884752333164215,-1.4487277269363403,0.1529739797115326,1.6464227437973022,0.09884752333164215,1,0,0.021703209728002548,0.6731089353561401,0.9999596476554871
0.6143572330474854,0.09917138516902924,-1.4373747110366821,0.15238140523433685,1.635717511177063,0.09917138516902924,1,0,0.02305537648499012,0.6859091520309448,0.9999572038650513
0.6277128458023071,0.099387526512146,-1.4260789155960083,0.1516123265028,1.6248539686203003,0.099387526512146,1,0,0.024449316784739494,0.6982755064964294,0.9999545812606812
0.6410684585571289,0.09949378669261932,-1.4148424863815308,0.15066705644130707,1.6138300895690918,0.09949378669261932,1,0,0.02588307484984398,0.7102101445198059,0.999951958656311
0.6544240117073059,0.09948822855949402,-1.4036661386489868,0.14954616129398346,1.60264253616333,0.09948822855949402,1,0,0.027354074642062187,0.7217162847518921,0.9999491572380066
0.6677796244621277,0.09936942160129547,-1.392549753189087,0.14825114607810974,1.5912885665893555,0.09936942160129547,1,0,0.028860237449407578,0.7327977418899536,0.9999464154243469
0.6811351776123047,0.0991351455450058,-1.381495475769043,0.1467825323343277,1.579765796661377,0.0991351455450058,1,0,0.030398616567254066,0.7434585690498352,0.9999436736106873
0.6944907903671265,0.09878416359424591,-1.3705040216445923,0.14514240622520447,1.5680723190307617,0.09878416359424591,1,0,0.03196672722697258,0.7537036538124084,0.999940812587738
0.7078464031219482,0.09831477701663971,-1.3595757484436035,0.14333218336105347,1.5562052726745605,0.09831477701663971,1,0,0.03356202319264412,0.763538122177124,0.9999380111694336
0.7212019562721252,0.09772545099258423,-1.3487118482589722,0.14135372638702393,1.5441627502441406,0.09772545099258423,1,0,0.03518124297261238,0.7729675769805908,0.9999350309371948
0.734557569026947,0.09701457619667053,-1.3379141092300415,0.13920900225639343,1.5319433212280273,0.09701457619667053,1,0,0.03682202473282814,0.7819980382919312,0.9999319911003113
0.7479131817817688,0.09618142247200012,-1.3271820545196533,0.1369011253118515,1.5195448398590088,0.09618142247200012,1,0,0.03848116099834442,0.7906365990638733,0.9999290704727173
0.7612687349319458,0.09522412717342377,-1.31651771068573,0.1344318836927414,1.5069659948349,0.09522412717342377,1,0,0.04015614464879036,0.7988895177841187,0.9999262690544128
0.7746243476867676,0.09414176642894745,-1.3059214353561401,0.131804421544075,1.4942049980163574,0.09414176642894745,1,0,0.04184400662779808,0.806764543056488,0.9999233484268188
0.7879799604415894,0.09293331205844879,-1.2953946590423584,0.12902191281318665,1.4812612533569336,0.09293331205844879,1,0,0.0435418076813221,0.8142693042755127,0.9999203681945801
0.8013355135917664,0.09159746766090393,-1.2849382162094116,0.12608718872070312,1.4681332111358643,0.09159746766090393,1,0,0.045246999710798264,0.8214124441146851,0.9999174475669861
0.8146911263465881,0.09013399481773376,-1.274552583694458,0.12300465255975723,1.4548206329345703,0.09013399481773376,1,0,0.04695729538798332,0.8282022476196289,0.9999144077301025
0.8280467391014099,0.08854147791862488,-1.2642399072647095,0.11977726221084595,1.4413228034973145,0.08854147791862488,1,0,0.04866901785135269,0.8346480131149292,0.9999114274978638
0.8414022922515869,0.0868196040391922,-1.254000186920166,0.11640944331884384,1.427639365196228,0.0868196040391922,1,0,0.050381142646074295,0.8407573699951172,0.9999086260795593
0.8547579050064087,0.08496744930744171,-1.2438350915908813,0.11290496587753296,1.4137699604034424,0.08496744930744171,1,0,0.05209040269255638,0.8465418815612793,0.9999058842658997
0.8681135177612305,0.08298477530479431,-1.2337453365325928,0.10926855355501175,1.3997149467468262,0.08298477530479431,1,0,0.0537947416305542,0.8520098924636841,0.9999030232429504
0.8814690709114075,0.08087046444416046,-1.2237329483032227,0.1055038794875145,1.3854738473892212,0.08087046444416046,1,0,0.05549241602420807,0.8571719527244568,0.9999002814292908
0.8948246836662292,0.0786251425743103,-1.213797926902771,0.10161694884300232,1.3710482120513916,0.0786251425743103,1,0,0.057181112468242645,0.8620376586914062,0.9998975992202759
0.908180296421051,0.07624757289886475,-1.2039421796798706,0.09761136770248413,1.3564373254776,0.07624757289886475,1,0,0.058859024196863174,0.8666176795959473,0.9998948574066162
0.921535849571228,0.07373818755149841,-1.1941665410995483,0.09349299967288971,1.3416428565979004,0.07373818755149841,1,0,0.06052438169717789,0.8709224462509155,0.9998921751976013
0.9348914623260498,0.07109630107879639,-1.1844727993011475,0.08926631510257721,1.3266654014587402,0.07109630107879639,1,0,0.0621759332716465,0.8749622702598572,0.9998896718025208
0.9482470750808716,0.06832252442836761,-1.1748613119125366,0.08493746072053909,1.3115063905715942,0.06832252442836761,1,0,0.06381257623434067,0.8787472248077393,0.999887228012085
0.9616026282310486,0.06541597843170166,-1.1653348207473755,0.08051076531410217,1.2961667776107788,0.06541597843170166,1,0,0.06543215364217758,0.8822884559631348,0.999884843826294
0.9749582409858704,0.06237794831395149,-1.155893325805664,0.07599326223134995,1.280649185180664,0.06237794831395149,1,0,0.067034050822258,0.8855960369110107,0.9998824000358582
0.9883138537406921,0.05920756235718727,-1.1465387344360352,0.07138930261135101,1.264953851699829,0.05920756235718727,1,0,0.0686170905828476,0.8886797428131104,0.9998800754547119
1.0016694068908691,0.05590572580695152,-1.1372718811035156,0.06670545786619186,1.2490832805633545,0.05590572580695152,1,0,0.07018061727285385,0.8915513753890991,0.9998779296875
1.015025019645691,0.05247225984930992,-1.1280955076217651,0.0619470588862896,1.2330399751663208,0.05247225984930992,1,0,0.07172317802906036,0.8942193388938904,0.9998757243156433
1.0283806324005127,0.04890807345509529,-1.1190098524093628,0.057120613753795624,1.2168259620666504,0.04890807345509529,1,0,0.07324489206075668,0.8966940641403198,0.9998736381530762
